adduser	3.137ubuntu1
gnupg	2.4.4-2ubuntu17.4
gnupg-utils	2.4.4-2ubuntu17.4
gnupg2	2.4.4-2ubuntu17.4
gpg	2.4.4-2ubuntu17.4
gpg-agent	2.4.4-2ubuntu17.4
gpgconf	2.4.4-2ubuntu17.4
gpgsm	2.4.4-2ubuntu17.4
gpgv	2.4.4-2ubuntu17.4
grep	3.11-4build1
gzip	1.12-1ubuntu3.1
hostname	3.23+nmu2ubuntu2
init-system-helpers	1.66ubuntu1
keyboxd	2.4.4-2ubuntu17.4
libacl1:amd64	2.3.2-1build1.1
libaom3:amd64	3.8.2-2ubuntu0.2
libapparmor1:amd64	4.0.1really4.0.1-0ubuntu0.24.04.7
libapt-pkg6.0t64:amd64	2.8.3
libarchive13t64:amd64	3.7.2-2ubuntu0.8
libasan8:amd64	14.2.0-4ubuntu2~24.04.1
libasound2-data	1.2.11-1ubuntu0.3
libasound2t64:amd64	1.2.11-1ubuntu0.3
libass9:amd64	1:0.17.1-2build1
libassuan0:amd64	2.5.6-1build1
libasyncns0:amd64	0.8-6build4
libatomic1:amd64	14.2.0-4ubuntu2~24.04.1
libattr1:amd64	1:2.5.2-1build1.1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1:amd64	1:3.1.2-2.1build1.1
libavc1394-0:amd64	0.5.4-5build3
libavcodec60:amd64	7:6.1.1-3ubuntu5
libavdevice60:amd64	7:6.1.1-3ubuntu5
libavfilter9:amd64	7:6.1.1-3ubuntu5
libavformat60:amd64	7:6.1.1-3ubuntu5
libavutil58:amd64	7:6.1.1-3ubuntu5
libbinutils:amd64	2.42-4ubuntu2.10
libblas3:amd64	3.12.0-3build1.1
libblkid1:amd64	2.39.3-9ubuntu6.5
libbluray2:amd64	1:1.3.4-1build1
libbrotli1:amd64	1.1.0-2build2
libbs2b0:amd64	3.1.0+dfsg-7build1
libbsd0:amd64	0.12.1-1build1.1
libbz2-1.0:amd64	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.7
libc-dev-bin	2.39-0ubuntu8.7
libc6:amd64	2.39-0ubuntu8.7
libc6-dev:amd64	2.39-0ubuntu8.7
libcaca0:amd64	0.99.beta20-4ubuntu0.2
libcairo-gobject2:amd64	1.18.0-3build1
libcairo2:amd64	1.18.0-3build1
libcap-ng0:amd64	0.8.4-2build2
libcap2:amd64	1:2.66-5ubuntu2.2
libcc1-0:amd64	14.2.0-4ubuntu2~24.04.1
libcdio-cdda2t64:amd64	10.2+2.0.1-1.1build2
libcdio-paranoia2t64:amd64	10.2+2.0.1-1.1build2
libcdio19t64:amd64	2.1.0-4.1ubuntu1.2
libchromaprint1:amd64	1.5.1-5
libcjson1:amd64	1.7.17-1
libcodec2-1.2:amd64	1.2.0-2build1
libcom-err2:amd64	1.47.0-2.4~exp1ubuntu4.1
libcrypt-dev:amd64	1:4.4.36-4build1
libcrypt1:amd64	1:4.4.36-4build1
libctf-nobfd0:amd64	2.42-4ubuntu2.10
libctf0:amd64	2.42-4ubuntu2.10
libcublas-13-0	13.1.1.3-1
libcublas-dev-13-0	13.1.1.3-1
libcudnn9-cuda-13	9.14.0.64-1
libcudnn9-dev-cuda-13	9.14.0.64-1
libcudnn9-headers-cuda-13	9.14.0.64-1
libcufft-13-0	12.0.0.61-1
libcufft-dev-13-0	12.0.0.61-1
libcufile-13-0	1.15.1.6-1
libcufile-dev-13-0	1.15.1.6-1
libcurand-13-0	10.4.0.35-1
libcurand-dev-13-0	10.4.0.35-1
libcurl3t64-gnutls:amd64	8.5.0-2ubuntu10.13
libcurl4t64:amd64	8.5.0-2ubuntu10.13
libcusolver-13-0	12.0.4.66-1
libcusolver-dev-13-0	12.0.4.66-1
libcusparse-13-0	12.6.3.3-1
libcusparse-dev-13-0	12.6.3.3-1
libdatrie1:amd64	0.2.13-3build1
libdav1d7:amd64	1.4.1-1build1
libdb5.3t64:amd64	5.3.28+dfsg2-7
libdbus-1-3:amd64	1.14.10-4ubuntu4.1
libdc1394-25:amd64	2.2.6-4build1
libdebconfclient0:amd64	0.271ubuntu3
libdecor-0-0:amd64	0.2.2-1build2
libdeflate0:amd64	1.19-1build1.1
libdpkg-perl	1.22.6ubuntu6.5
libdrm-amdgpu1:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm-common	2.4.125-1ubuntu0.1~24.04.2
libdrm-intel1:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm2:amd64	2.4.125-1ubuntu0.1~24.04.2
libedit2:amd64	3.1-20230828-1build1
libelf1t64:amd64	0.190-1.1ubuntu0.1
liberror-perl	0.17029-2
libexpat1:amd64	2.6.1-2ubuntu0.5
libexpat1-dev:amd64	2.6.1-2ubuntu0.5
libext2fs2t64:amd64	1.47.0-2.4~exp1ubuntu4.1
libffi8:amd64	3.4.6-1build1
libfftw3-double3:amd64	3.3.10-1ubuntu3
libflac12t64:amd64	1.4.3+ds-2.1ubuntu2
libflite1:amd64	2.2-6build3
libfontconfig1:amd64	2.15.0-1.1ubuntu2
libfreetype6:amd64	2.13.2+dfsg-1ubuntu0.1
libfribidi0:amd64	1.0.13-3build1
libgbm1:amd64	25.2.8-0ubuntu0.24.04.2
libgcc-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libgcc-s1:amd64	14.2.0-4ubuntu2~24.04.1
libgcrypt20:amd64	1.10.3-2build1
libgdbm-compat4t64:amd64	1.23-5.1build1
libgdbm6t64:amd64	1.23-5.1build1
libgdk-pixbuf-2.0-0:amd64	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-common	2.42.10+dfsg-3ubuntu3.3
libgfortran5:amd64	14.2.0-4ubuntu2~24.04.1
libgl1:amd64	1.7.0-1build1
libgl1-mesa-dri:amd64	25.2.8-0ubuntu0.24.04.2
libglib2.0-0t64:amd64	2.80.0-6ubuntu3.9
libglvnd0:amd64	1.7.0-1build1
libglx-mesa0:amd64	25.2.8-0ubuntu0.24.04.2
libglx0:amd64	1.7.0-1build1
libgme0:amd64	0.6.3-7build1
libgmp10:amd64	2:6.3.0+dfsg-2ubuntu6.1
libgnutls30t64:amd64	3.8.3-1.1ubuntu3.5
libgomp1:amd64	14.2.0-4ubuntu2~24.04.1
libgpg-error0:amd64	1.47-3build2.1
libgprofng0:amd64	2.42-4ubuntu2.10
libgraphite2-3:amd64	1.3.14-2ubuntu0.24.04.1
libgsm1:amd64	1.0.22-1build1
libgssapi-krb5-2:amd64	1.20.1-6ubuntu2.10
libharfbuzz0b:amd64	8.3.0-2build2
libhogweed6t64:amd64	3.9.1-2.2build1.1
libhwasan0:amd64	14.2.0-4ubuntu2~24.04.1
libhwy1t64:amd64	1.0.7-8.1build1
libicu74:amd64	74.2-1ubuntu3.1
libidn2-0:amd64	2.3.7-2build1.1
libiec61883-0:amd64	1.2.0-6build1
libisl23:amd64	0.26-3build1.1
libitm1:amd64	14.2.0-4ubuntu2~24.04.1
libjack-jackd2-0:amd64	1.9.21~dfsg-3ubuntu3
libjansson4:amd64	2.14-2build2
libjbig0:amd64	2.1-6.1ubuntu2
libjpeg-turbo8:amd64	2.1.5-2ubuntu2
libjpeg8:amd64	8c-2ubuntu11
libjsoncpp25:amd64	1.9.5-6build1
libjxl0.7:amd64	0.7.0-10.2ubuntu6.1
libk5crypto3:amd64	1.20.1-6ubuntu2.10
libkeyutils1:amd64	1.6.3-3build1
libkrb5-3:amd64	1.20.1-6ubuntu2.10
libkrb5support0:amd64	1.20.1-6ubuntu2.10
libksba8:amd64	1.6.6-1build1
liblapack3:amd64	3.12.0-3build1.1
liblcms2-2:amd64	2.14-2ubuntu0.1
libldap2:amd64	2.6.10+dfsg-0ubuntu0.24.04.1
liblerc4:amd64	4.0.0+ds-4ubuntu2
liblilv-0-0:amd64	0.24.22-1build1
libllvm20:amd64	1:20.1.2-0ubuntu1~24.04.3
liblsan0:amd64	14.2.0-4ubuntu2~24.04.1
liblz4-1:amd64	1.9.4-1build1.1
liblzma5:amd64	5.6.1+really5.4.5-1ubuntu0.2
libmbedcrypto7t64:amd64	2.28.8-1
libmd0:amd64	1.1.0-2build1.1
libmount1:amd64	2.39.3-9ubuntu6.5
libmp3lame0:amd64	3.100-6build1
libmpc3:amd64	1.3.1-1build1.1
libmpfr6:amd64	4.2.1-1build1.1
libmpg123-0t64:amd64	1.32.5-1ubuntu1.1
libmysofa1:amd64	1.3.2+dfsg-2ubuntu2
libnccl-dev	2.28.3-1+cuda13.0
libnccl2	2.28.3-1+cuda13.0
libncursesw6:amd64	6.4+20240113-1ubuntu2
libnettle8t64:amd64	3.9.1-2.2build1.1
libnghttp2-14:amd64	1.59.0-1ubuntu0.4
libnorm1t64:amd64	1.5.9+dfsg-3.1build1
libnpp-13-0	13.0.1.2-1
libnpp-dev-13-0	13.0.1.2-1
libnpth0t64:amd64	1.6-3.1build1
libnuma1:amd64	2.0.18-1ubuntu0.24.04.1
libnvfatbin-13-0	13.0.85-1
libnvfatbin-dev-13-0	13.0.85-1
libnvjitlink-13-0	13.0.88-1
libnvjitlink-dev-13-0	13.0.88-1
libnvjpeg-13-0	13.0.1.86-1
libnvjpeg-dev-13-0	13.0.1.86-1
libnvptxcompiler-13-0	13.0.88-1
libnvvm-13-0	13.0.88-1
libogg0:amd64	1.3.5-3build1
libopenal-data	1:1.23.1-4build1
libopenal1:amd64	1:1.23.1-4build1
libopenjp2-7:amd64	2.5.0-2ubuntu0.5
libopenmpt0t64:amd64	0.7.3-1.1build3
libopus0:amd64	1.4-1build1
libp11-kit0:amd64	0.25.3-4ubuntu2.1
libpam-modules:amd64	1.5.3-5ubuntu5.5
libpam-modules-bin	1.5.3-5ubuntu5.5
libpam-runtime	1.5.3-5ubuntu5.5
libpam0g:amd64	1.5.3-5ubuntu5.5
libpango-1.0-0:amd64	1.52.1+ds-1build1
libpangocairo-1.0-0:amd64	1.52.1+ds-1build1
libpangoft2-1.0-0:amd64	1.52.1+ds-1build1
libpciaccess0:amd64	0.17-3ubuntu0.24.04.2
libpcre2-8-0:amd64	10.42-4ubuntu2.1
libperl5.38t64:amd64	5.38.2-3.2ubuntu0.2
libpgm-5.3-0t64:amd64	5.3.128~dfsg-2.1build1
libpixman-1-0:amd64	0.42.2-1build1
libpkgconf3:amd64	1.8.1-2build1
libplacebo338:amd64	6.338.2-2build1
libpng16-16t64:amd64	1.6.43-5ubuntu0.6
libpocketsphinx3:amd64	0.8.0+real5prealpha+1-15ubuntu5
libpostproc57:amd64	7:6.1.1-3ubuntu5
libproc2-0:amd64	2:4.0.4-4ubuntu3.2
libpsl5t64:amd64	0.21.2-1.1build1
libpulse0:amd64	1:16.1+dfsg1-2ubuntu10.1
libpython3.12-dev:amd64	3.12.3-1ubuntu0.17
libpython3.12-minimal:amd64	3.12.3-1ubuntu0.17
libpython3.12-stdlib:amd64	3.12.3-1ubuntu0.17
libpython3.12t64:amd64	3.12.3-1ubuntu0.17
libquadmath0:amd64	14.2.0-4ubuntu2~24.04.1
librabbitmq4:amd64	0.11.0-1ubuntu0.2
librav1e0:amd64	0.7.1-2
libraw1394-11:amd64	2.1.2-2build3
libreadline8t64:amd64	8.2-4build1
librhash0:amd64	1.4.3-3build1
librist4:amd64	0.2.10+dfsg-2
librsvg2-2:amd64	2.58.0+dfsg-1build1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build7
librubberband2:amd64	3.3.0+dfsg-2build1
libsamplerate0:amd64	0.2.2-4build1
libsasl2-2:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db:amd64	2.1.28+dfsg1-5ubuntu3.1
libsdl2-2.0-0:amd64	2.30.0+dfsg-1ubuntu3.1
libseccomp2:amd64	2.5.5-1ubuntu3.1
libselinux1:amd64	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5
libsemanage2:amd64	3.5-1build5
libsensors-config	1:3.6.0-9build1
libsensors5:amd64	1:3.6.0-9build1
libsepol2:amd64	3.5-2build1
libserd-0-0:amd64	0.32.2-1
libsframe1:amd64	2.42-4ubuntu2.10
libsharpyuv0:amd64	1.3.2-0.4build3
libshine3:amd64	3.1.1-2build1
libslang2:amd64	2.3.3-3build2
libsmartcols1:amd64	2.39.3-9ubuntu6.5
libsnappy1v5:amd64	1.1.10-1build1
libsndfile1:amd64	1.2.2-1ubuntu5.24.04.1
libsndio7.0:amd64	1.9.0-0.3build3
libsodium23:amd64	1.0.18-1ubuntu0.24.04.1
libsord-0-0:amd64	0.16.16-2build1
libsoxr0:amd64	0.1.3-4build3
libspeex1:amd64	1.2.1-2ubuntu2.24.04.1
libsphinxbase3t64:amd64	0.8+5prealpha+1-17build2
libsqlite3-0:amd64	3.45.1-1ubuntu2.5
libsratom-0-0:amd64	0.6.16-1build1
libsrt1.5-gnutls:amd64	1.5.3-1build2
libss2:amd64	1.47.0-2.4~exp1ubuntu4.1
libssh-4:amd64	0.10.6-2ubuntu0.5
libssh-gcrypt-4:amd64	0.10.6-2ubuntu0.5
libssl3t64:amd64	3.0.13-0ubuntu3.9
libstdc++-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libstdc++6:amd64	14.2.0-4ubuntu2~24.04.1
libsvtav1enc1d1:amd64	1.7.0+dfsg-2build1
libswresample4:amd64	7:6.1.1-3ubuntu5
libswscale7:amd64	7:6.1.1-3ubuntu5
libsystemd0:amd64	255.4-1ubuntu8.14
libtasn1-6:amd64	4.19.0-3ubuntu0.24.04.2
libthai-data	0.1.29-2build1
libthai0:amd64	0.1.29-2build1
libtheora0:amd64	1.1.1+dfsg.1-16.1build3
libtiff6:amd64	4.5.1+git230720-4ubuntu2.5
libtinfo6:amd64	6.4+20240113-1ubuntu2
libtsan2:amd64	14.2.0-4ubuntu2~24.04.1
libtwolame0:amd64	0.4.0-2build3
libubsan1:amd64	14.2.0-4ubuntu2~24.04.1
libudev1:amd64	255.4-1ubuntu8.14
libudfread0:amd64	1.1.2-1build1
libunibreak5:amd64	5.1-2build1
libunistring5:amd64	1.1-2build1.1
libusb-1.0-0:amd64	2:1.0.27-1
libuuid1:amd64	2.39.3-9ubuntu6.5
libuv1t64:amd64	1.48.0-1.1build1
libva-drm2:amd64	2.20.0-2ubuntu0.2
libva-x11-2:amd64	2.20.0-2ubuntu0.2
libva2:amd64	2.20.0-2ubuntu0.2
libvdpau1:amd64	1.5-2build1
libvidstab1.1:amd64	1.1.0-2build1
libvorbis0a:amd64	1.3.7-1build3
libvorbisenc2:amd64	1.3.7-1build3
libvorbisfile3:amd64	1.3.7-1build3
libvpl2	2023.3.0-1build1
libvpx9:amd64	1.14.0-1ubuntu2.3
libvulkan1:amd64	1.3.275.0-1build1
libwayland-client0:amd64	1.22.0-2.1build1
libwayland-cursor0:amd64	1.22.0-2.1build1
libwayland-egl1:amd64	1.22.0-2.1build1
libwebp7:amd64	1.3.2-0.4build3
libwebpmux3:amd64	1.3.2-0.4build3
libx11-6:amd64	2:1.8.7-1build1
libx11-data	2:1.8.7-1build1
libx11-xcb1:amd64	2:1.8.7-1build1
libx264-164:amd64	2:0.164.3108+git31e19f9-1
libx265-199:amd64	3.5-2build1
libxau6:amd64	1:1.0.9-1build6
libxcb-dri3-0:amd64	1.15-1ubuntu2
libxcb-glx0:amd64	1.15-1ubuntu2
libxcb-present0:amd64	1.15-1ubuntu2
libxcb-randr0:amd64	1.15-1ubuntu2
libxcb-render0:amd64	1.15-1ubuntu2
libxcb-shape0:amd64	1.15-1ubuntu2
libxcb-shm0:amd64	1.15-1ubuntu2
libxcb-sync1:amd64	1.15-1ubuntu2
libxcb-xfixes0:amd64	1.15-1ubuntu2
libxcb1:amd64	1.15-1ubuntu2
libxcursor1:amd64	1:1.2.1-1build1
libxdmcp6:amd64	1:1.1.3-0ubuntu6
libxext6:amd64	2:1.3.4-1build2
libxfixes3:amd64	1:6.0.0-2build1
libxi6:amd64	2:1.8.1-1build1
libxkbcommon0:amd64	1.6.0-1build1
libxml2:amd64	2.9.14+dfsg-1.3ubuntu3.9
libxrandr2:amd64	2:1.5.2-2build1
libxrender1:amd64	1:0.9.10-1.1build1
libxshmfence1:amd64	1.3-1build5
libxss1:amd64	1:1.2.3-1build3
libxv1:amd64	2:1.0.11-1.1build1
libxvidcore4:amd64	2:1.3.7-1build1
libxxf86vm1:amd64	1:1.1.4-1build4
libxxhash0:amd64	0.8.2-2build1
libzimg2:amd64	3.0.5+ds1-1build1
libzix-0-0:amd64	0.4.2-2build1
libzmq5:amd64	4.3.5-1build2
libzstd1:amd64	1.5.5+dfsg2-2build1.1
libzvbi-common	0.2.42-2
libzvbi0t64:amd64	0.2.42-2
linux-libc-dev:amd64	6.8.0-110.110
login	1:4.13+dfsg1-4ubuntu3.2
logsave	1.47.0-2.4~exp1ubuntu4.1
lto-disabled-list	47
make	4.3-4.1build2
mawk	1.3.4.20240123-1build1
media-types	10.1.0
mesa-libgallium:amd64	25.2.8-0ubuntu0.24.04.2
mount	2.39.3-9ubuntu6.5
ncurses-base	6.4+20240113-1ubuntu2
ncurses-bin	6.4+20240113-1ubuntu2
netbase	6.4
ninja-build	1.11.1-2
nsight-compute-2025.3.1	2025.3.1.4-1
ocl-icd-libopencl1:amd64	2.3.2-1build1
openssl	3.0.13-0ubuntu3.9
passwd	1:4.13+dfsg1-4ubuntu3.2
patch	2.7.6-7build3
perl	5.38.2-3.2ubuntu0.2
perl-base	5.38.2-3.2ubuntu0.2
perl-modules-5.38	5.38.2-3.2ubuntu0.2
pinentry-curses	1.2.1-3ubuntu5
pkg-config:amd64	1.8.1-2build1
pkgconf:amd64	1.8.1-2build1
pkgconf-bin	1.8.1-2build1
procps	2:4.0.4-4ubuntu3.2
python3-pip-whl	24.0+dfsg-1ubuntu1.3
python3-setuptools-whl	68.1.2-2ubuntu1.2
python3.12	3.12.3-1ubuntu0.17
python3.12-dev	3.12.3-1ubuntu0.17
python3.12-minimal	3.12.3-1ubuntu0.17
python3.12-venv	3.12.3-1ubuntu0.17
readline-common	8.2-4build1
rpcsvc-proto	1.4.2-0ubuntu7
sed	4.9-2build1
sensible-utils	0.0.22
shared-mime-info	2.4-4
sysvinit-utils	3.08-6ubuntu3
tar	1.35+dfsg-3build1
tzdata	2026c-0ubuntu0.24.04.1
ubuntu-keyring	2023.11.28.1
unminimize	0.2.1
util-linux	2.39.3-9ubuntu6.5
x11-common	1:7.7+23ubuntu3
xkb-data	2.41-2ubuntu1.1
xz-utils	5.6.1+really5.4.5-1ubuntu0.2
zlib1g:amd64	1:1.3.dfsg-3.1ubuntu2.2
zlib1g-dev:amd64	1:1.3.dfsg-3.1ubuntu2.2
