adduser	3.137ubuntu1
gpgconf	2.4.4-2ubuntu17.4
gpgsm	2.4.4-2ubuntu17.4
gpgv	2.4.4-2ubuntu17.4
grep	3.11-4build1
gzip	1.12-1ubuntu3.1
hostname	3.23+nmu2ubuntu2
init-system-helpers	1.66ubuntu1
keyboxd	2.4.4-2ubuntu17.4
libacl1:amd64	2.3.2-1build1.1
libapt-pkg6.0t64:amd64	2.8.3
libarchive13t64:amd64	3.7.2-2ubuntu0.8
libasan8:amd64	14.2.0-4ubuntu2~24.04.1
libassuan0:amd64	2.5.6-1build1
libatomic1:amd64	14.2.0-4ubuntu2~24.04.1
libattr1:amd64	1:2.5.2-1build1.1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1:amd64	1:3.1.2-2.1build1.1
libbinutils:amd64	2.42-4ubuntu2.10
libblkid1:amd64	2.39.3-9ubuntu6.5
libbrotli1:amd64	1.1.0-2build2
libbz2-1.0:amd64	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.7
libc-dev-bin	2.39-0ubuntu8.7
libc6:amd64	2.39-0ubuntu8.7
libc6-dev:amd64	2.39-0ubuntu8.7
libcap-ng0:amd64	0.8.4-2build2
libcap2:amd64	1:2.66-5ubuntu2.2
libcc1-0:amd64	14.2.0-4ubuntu2~24.04.1
libcom-err2:amd64	1.47.0-2.4~exp1ubuntu4.1
libcrypt-dev:amd64	1:4.4.36-4build1
libcrypt1:amd64	1:4.4.36-4build1
libctf-nobfd0:amd64	2.42-4ubuntu2.10
libctf0:amd64	2.42-4ubuntu2.10
libcublas-13-2	13.4.0.1-1
libcublas-dev-13-2	13.4.0.1-1
libcufft-13-2	12.2.0.46-1
libcufft-dev-13-2	12.2.0.46-1
libcufile-13-2	1.17.1.22-1
libcufile-dev-13-2	1.17.1.22-1
libcuobjclient-13-2	1.1.1.22-1
libcuobjclient-dev-13-2	1.1.1.22-1
libcurand-13-2	10.4.2.55-1
libcurand-dev-13-2	10.4.2.55-1
libcurl3t64-gnutls:amd64	8.5.0-2ubuntu10.13
libcurl4t64:amd64	8.5.0-2ubuntu10.13
libcusolver-13-2	12.2.0.1-1
libcusolver-dev-13-2	12.2.0.1-1
libcusparse-13-2	12.7.10.1-1
libcusparse-dev-13-2	12.7.10.1-1
libdb5.3t64:amd64	5.3.28+dfsg2-7
libdebconfclient0:amd64	0.271ubuntu3
libdpkg-perl	1.22.6ubuntu6.5
liberror-perl	0.17029-2
libexpat1:amd64	2.6.1-2ubuntu0.4
libext2fs2t64:amd64	1.47.0-2.4~exp1ubuntu4.1
libffi8:amd64	3.4.6-1build1
libgcc-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libgcc-s1:amd64	14.2.0-4ubuntu2~24.04.1
libgcrypt20:amd64	1.10.3-2build1
libgdbm-compat4t64:amd64	1.23-5.1build1
libgdbm6t64:amd64	1.23-5.1build1
libgmp10:amd64	2:6.3.0+dfsg-2ubuntu6.1
libgnutls30t64:amd64	3.8.3-1.1ubuntu3.5
libgomp1:amd64	14.2.0-4ubuntu2~24.04.1
libgpg-error0:amd64	1.47-3build2.1
libgprofng0:amd64	2.42-4ubuntu2.10
libgssapi-krb5-2:amd64	1.20.1-6ubuntu2.8
libhogweed6t64:amd64	3.9.1-2.2build1.1
libhwasan0:amd64	14.2.0-4ubuntu2~24.04.1
libicu74:amd64	74.2-1ubuntu3.1
libidn2-0:amd64	2.3.7-2build1.1
libisl23:amd64	0.26-3build1.1
libitm1:amd64	14.2.0-4ubuntu2~24.04.1
libjansson4:amd64	2.14-2build2
libjsoncpp25:amd64	1.9.5-6build1
libk5crypto3:amd64	1.20.1-6ubuntu2.8
libkeyutils1:amd64	1.6.3-3build1
libkrb5-3:amd64	1.20.1-6ubuntu2.8
libkrb5support0:amd64	1.20.1-6ubuntu2.8
libksba8:amd64	1.6.6-1build1
libldap2:amd64	2.6.10+dfsg-0ubuntu0.24.04.1
liblsan0:amd64	14.2.0-4ubuntu2~24.04.1
liblz4-1:amd64	1.9.4-1build1.1
liblzma5:amd64	5.6.1+really5.4.5-1ubuntu0.2
libmd0:amd64	1.1.0-2build1.1
libmount1:amd64	2.39.3-9ubuntu6.5
libmpc3:amd64	1.3.1-1build1.1
libmpfr6:amd64	4.2.1-1build1.1
libncursesw6:amd64	6.4+20240113-1ubuntu2
libnettle8t64:amd64	3.9.1-2.2build1.1
libnghttp2-14:amd64	1.59.0-1ubuntu0.4
libnpp-13-2	13.1.0.48-1
libnpp-dev-13-2	13.1.0.48-1
libnpth0t64:amd64	1.6-3.1build1
libnvfatbin-13-2	13.2.78-1
libnvfatbin-dev-13-2	13.2.78-1
libnvjitlink-13-2	13.2.78-1
libnvjitlink-dev-13-2	13.2.78-1
libnvjpeg-13-2	13.1.0.48-1
libnvjpeg-dev-13-2	13.1.0.48-1
libnvptxcompiler-13-2	13.2.78-1
libnvvm-13-2	13.2.78-1
libp11-kit0:amd64	0.25.3-4ubuntu2.1
libpam-modules:amd64	1.5.3-5ubuntu5.5
libpam-modules-bin	1.5.3-5ubuntu5.5
libpam-runtime	1.5.3-5ubuntu5.5
libpam0g:amd64	1.5.3-5ubuntu5.5
libpcre2-8-0:amd64	10.42-4ubuntu2.1
libperl5.38t64:amd64	5.38.2-3.2ubuntu0.2
libproc2-0:amd64	2:4.0.4-4ubuntu3.2
libpsl5t64:amd64	0.21.2-1.1build1
libpython3-stdlib:amd64	3.12.3-0ubuntu2.1
libpython3.12-minimal:amd64	3.12.3-1ubuntu0.17
libpython3.12-stdlib:amd64	3.12.3-1ubuntu0.17
libquadmath0:amd64	14.2.0-4ubuntu2~24.04.1
libreadline8t64:amd64	8.2-4build1
librhash0:amd64	1.4.3-3build1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build7
libsasl2-2:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db:amd64	2.1.28+dfsg1-5ubuntu3.1
libseccomp2:amd64	2.5.5-1ubuntu3.1
libselinux1:amd64	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5
libsemanage2:amd64	3.5-1build5
libsepol2:amd64	3.5-2build1
libsframe1:amd64	2.42-4ubuntu2.10
libsmartcols1:amd64	2.39.3-9ubuntu6.5
libsqlite3-0:amd64	3.45.1-1ubuntu2.5
libss2:amd64	1.47.0-2.4~exp1ubuntu4.1
libssh-4:amd64	0.10.6-2ubuntu0.5
libssl-dev:amd64	3.0.13-0ubuntu3.15
libssl3t64:amd64	3.0.13-0ubuntu3.15
libstdc++-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libstdc++6:amd64	14.2.0-4ubuntu2~24.04.1
libsystemd0:amd64	255.4-1ubuntu8.15
libtasn1-6:amd64	4.19.0-3ubuntu0.24.04.2
libtinfo6:amd64	6.4+20240113-1ubuntu2
libtsan2:amd64	14.2.0-4ubuntu2~24.04.1
libubsan1:amd64	14.2.0-4ubuntu2~24.04.1
libudev1:amd64	255.4-1ubuntu8.15
libunistring5:amd64	1.1-2build1.1
libuuid1:amd64	2.39.3-9ubuntu6.5
libuv1t64:amd64	1.48.0-1.1build1
libxml2:amd64	2.9.14+dfsg-1.3ubuntu3.8
libxxhash0:amd64	0.8.2-2build1
libzstd1:amd64	1.5.5+dfsg2-2build1.1
linux-libc-dev:amd64	6.8.0-110.110
login	1:4.13+dfsg1-4ubuntu3.2
logsave	1.47.0-2.4~exp1ubuntu4.1
lto-disabled-list	47
make	4.3-4.1build2
mawk	1.3.4.20240123-1build1
media-types	10.1.0
mount	2.39.3-9ubuntu6.5
ncurses-base	6.4+20240113-1ubuntu2
ncurses-bin	6.4+20240113-1ubuntu2
netbase	6.4
ninja-build	1.11.1-2
nsight-compute-2026.1.1	2026.1.1.2-1
openssl	3.0.13-0ubuntu3.15
passwd	1:4.13+dfsg1-4ubuntu3.2
patch	2.7.6-7build3
perl	5.38.2-3.2ubuntu0.2
perl-base	5.38.2-3.2ubuntu0.2
perl-modules-5.38	5.38.2-3.2ubuntu0.2
pinentry-curses	1.2.1-3ubuntu5
procps	2:4.0.4-4ubuntu3.2
python3	3.12.3-0ubuntu2.1
python3-minimal	3.12.3-0ubuntu2.1
python3.12	3.12.3-1ubuntu0.17
python3.12-minimal	3.12.3-1ubuntu0.17
readline-common	8.2-4build1
rpcsvc-proto	1.4.2-0ubuntu7
sed	4.9-2build1
sensible-utils	0.0.22
sysvinit-utils	3.08-6ubuntu3
tar	1.35+dfsg-3build1
tzdata	2026c-0ubuntu0.24.04.1
ubuntu-keyring	2023.11.28.1
unminimize	0.2.1
util-linux	2.39.3-9ubuntu6.5
xz-utils	5.6.1+really5.4.5-1ubuntu0.2
zlib1g:amd64	1:1.3.dfsg-3.1ubuntu2.1
